id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,billing_date,exp_amount,taster_name
505,36,2019-02-01,18:00:00,19:30:00,15,Approve,87,0,"Good Luck",19,2,22,0,completed,3,1,2,18:16:00,00:00:00,00:00:00,18:16:00,01:30:00,0,0,"2019-02-01 12:34:33","2019-02-01 12:47:01",0,pending,1,2019-02-01,$55,"Kim Chan"
503,36,2019-02-01,14:30:00,17:00:00,15,Approve,97,0,"Good Luck",19,2,22,0,completed,3,1,2,14:24:00,00:00:00,00:00:00,16:05:00,02:30:00,0,0,"2019-02-01 08:48:28","2019-02-01 10:35:45",0,pending,1,2019-02-01,$$10,"Luis Smith"
502,36,2019-02-01,14:00:00,15:30:00,15,Approve,87,0,"Good Luck",19,2,22,0,completed,3,1,2,14:02:00,00:00:00,00:00:00,14:10:00,01:30:00,0,0,"2019-02-01 08:29:45","2019-02-01 08:40:47",0,pending,1,2019-02-01,$$5,"Kim Chan"
496,36,2019-02-01,13:00:00,17:00:00,15,Good,87,0,"Best Of Luck",12,2,22,0,completed,3,1,2,17:50:00,00:00:00,00:00:00,17:50:00,02:45:00,0,0,"2019-01-31 12:54:43","2019-02-01 12:22:31",0,pending,1,2019-02-01,$22,"Kim Chan"
495,65,2019-02-01,13:15:00,17:30:00,15,Approve,87,0,"Good Luck",12,2,22,0,completed,3,1,2,14:36:00,00:00:00,00:00:00,14:40:00,04:12:00,0,0,"2019-01-31 12:52:01","2019-02-01 09:11:17",0,pending,1,2019-02-01,$2369,"Kim Chan"
494,36,2019-01-31,16:45:00,17:00:00,15,"Please check this",87,0,"Good Luck",12,2,22,0,completed,3,1,2,16:42:00,00:00:00,00:00:00,17:11:00,00:15:00,0,0,"2019-01-31 11:09:44","2019-01-31 11:57:10",0,pending,1,2019-01-31,$50,"Kim Chan"
491,36,2019-01-31,12:10:00,14:30:00,15,"Approve It",35,0,"Good Luck",12,2,22,0,completed,3,1,2,12:41:00,00:00:00,00:00:00,12:41:00,02:20:00,0,0,"2019-01-31 06:41:36","2019-01-31 07:12:34",0,pending,1,2019-01-31,$8,"Harper Woods"
490,36,2019-01-31,11:20:00,12:50:00,15,Approve,35,0,"Good Luck",9,2,22,0,completed,3,1,2,11:39:00,00:00:00,00:00:00,11:53:00,01:30:00,0,0,"2019-01-31 06:00:09","2019-01-31 06:42:38",0,pending,1,2019-01-31,$20,"Harper Woods"
488,36,2019-01-31,11:00:00,21:30:00,6,Hi,54,0,Hi,19,2,22,0,completed,3,1,2,12:05:00,00:00:00,00:00:00,12:05:00,10:30:00,30.2672,-97.7431,"2019-01-31 05:13:31","2019-01-31 06:25:18",0,pending,1,2019-01-31,$25,"Rohit Roy"
472,36,2019-01-31,11:00:00,18:30:00,5,Hi,55,0,Taster,"18,19,26",2,22,0,completed,3,1,2,11:02:00,00:00:00,00:00:00,13:41:00,18:13:00,0,0,"2019-01-25 06:12:47","2019-01-31 11:53:50",0,pending,1,2019-01-31,$50,"Kim Chan"
