id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,billing_date,exp_amount,taster_name,account_no
585,36,2019-02-15,14:45:00,17:15:00,15,"Hh bank",35,0,"Good luck.","26,28",2,22,0,completed,3,1,2,14:22:00,00:00:00,00:00:00,14:24:00,00:02:00,0,0,"2019-02-15 07:49:02","2019-02-15 08:55:04",0,pending,1,2019-02-15,$21,"Harper Woods",1234567890
582,36,2019-02-15,12:30:00,17:00:00,15,"Approve Please",35,0,"Good Luck","12,18",2,22,0,completed,3,1,2,13:04:00,00:00:00,00:00:00,14:42:00,03:41:00,22.6092,88.4141,"2019-02-15 06:45:42","2019-02-15 09:12:19",0,pending,1,2019-02-15,$55,"Harper Woods",1234567890
573,65,2019-02-14,13:00:00,14:30:00,15,"Approve For Chris",108,0,"Good Luck",19,2,22,0,completed,3,1,2,13:15:00,00:00:00,00:00:00,13:16:00,00:01:00,22.6092,88.4143,"2019-02-14 07:27:50","2019-02-14 08:25:20",0,pending,1,2019-02-14,$00,"Christopher Williams",3739994747
571,36,2019-02-14,12:00:00,14:30:00,5,Good,35,0,"Good luck.",26,2,22,0,completed,3,1,2,13:27:00,00:00:00,00:00:00,13:36:00,00:09:00,0,0,"2019-02-14 05:59:20","2019-02-14 08:55:56",0,pending,1,2019-02-14,$55,"Harper Woods",1234567890
570,65,2019-02-14,11:25:00,11:55:00,5,Approve,108,0,"Good Luck",19,2,22,0,completed,3,1,2,12:07:00,00:00:00,00:00:00,12:50:00,13:13:00,22.6091,88.4142,"2019-02-14 05:50:47","2019-02-14 07:23:23",0,pending,1,2019-02-14,$6666,"Christopher Williams",3739994747
569,65,2019-02-13,17:25:00,19:55:00,15,Approve,108,0,"Good Luck",19,2,22,0,completed,3,1,2,17:22:00,00:00:00,00:00:00,18:15:00,00:32:00,22.6093,88.4143,"2019-02-13 11:47:46","2019-02-15 04:54:52",0,pending,1,2019-02-14,$21,"Christopher Williams",3739994747
568,36,2019-02-13,13:14:00,16:44:00,15,Good,35,0,Bio,28,2,22,0,completed,3,1,2,13:12:00,00:00:00,00:00:00,13:20:00,00:08:00,0,0,"2019-02-13 07:41:14","2019-02-16 07:13:05",0,pending,1,2019-02-16,$55,"Rajdeep Sales Rep",
567,36,2019-02-13,12:30:00,15:00:00,16,"Good day.",35,0,"Good luck.",28,2,22,0,completed,3,1,2,12:50:00,00:00:00,00:00:00,12:52:00,00:02:00,0,0,"2019-02-13 06:53:28","2019-02-16 07:46:46",0,pending,1,2019-02-16,$44,"Rajdeep Sales Rep",
566,65,2019-02-13,12:00:00,15:30:00,16,Admin,108,0,Taster,19,2,22,0,completed,3,1,2,12:04:00,00:00:00,00:00:00,12:09:00,00:05:00,0,0,"2019-02-13 06:30:44","2019-02-13 06:40:58",0,pending,1,2019-02-13,$10,"Christopher Williams",3739994747
558,36,2019-02-12,18:00:00,20:30:00,15,"Good day.",87,0,Nice,28,2,21,0,completed,3,1,2,18:42:00,00:00:00,00:00:00,18:44:00,00:02:00,0,0,"2019-02-12 12:22:13","2019-02-12 13:24:02",0,pending,1,2019-02-12,$66,"Kim Chan",1234567890
