id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,billing_date,exp_amount,taster_name,account_no
540,36,2019-02-08,09:00:00,11:30:00,5,"Admin&#039;s Note",55,0,"Taster notes","27,28",2,22,0,completed,3,1,2,11:37:00,00:00:00,00:00:00,11:39:00,00:02:00,0,0,"2019-02-08 05:46:08","2019-02-08 06:19:04",0,pending,1,2019-02-08,$10,"Harpreet Singh",1234678905
539,36,2019-02-08,11:59:00,20:29:00,16,Hi,87,0,Hi,28,2,21,0,completed,3,1,2,18:19:00,00:00:00,00:00:00,19:18:00,00:59:00,0,0,"2019-02-08 05:30:02","2019-02-08 13:49:09",0,pending,1,2019-02-08,$2356,"Kim Chan",1234567890
538,36,2019-02-07,18:00:00,18:30:00,16,Hi,35,0,Hi,27,2,22,0,completed,3,1,2,17:27:00,00:00:00,00:00:00,17:44:00,00:30:00,0,0,"2019-02-07 10:26:01","2019-02-07 12:37:54",0,pending,1,2019-02-07,$10,"Harper Woods",1234567890
533,36,2019-02-07,11:00:00,12:30:00,15,"Sample admin note",87,0,"Sample Taster Note 2","10,11,12,18",2,21,0,completed,3,1,2,10:58:00,00:00:00,00:00:00,11:04:00,01:30:00,0,0,"2019-02-07 04:38:56","2019-02-07 05:35:34",0,pending,1,2019-02-07,$10,"Kim Chan",1234567890
532,36,2019-02-07,10:00:00,11:30:00,5,"Admin’s Note",55,0,"Taster Note 3","19,23,27,28",2,22,0,completed,3,1,2,10:24:00,00:00:00,00:00:00,10:29:00,01:30:00,0,0,"2019-02-07 04:37:51","2019-02-07 05:05:30",0,pending,1,2019-02-07,$15,"Harpreet Singh",1234678905
531,65,2019-02-06,14:00:00,17:30:00,16,Admin,35,0,Taster,27,2,23,0,completed,3,1,2,15:08:00,00:00:00,00:00:00,15:13:00,03:30:00,0,0,"2019-02-06 09:17:45","2019-02-06 09:44:30",0,pending,1,2019-02-06,$15,"Harper Woods",1234567890
530,65,2019-02-06,10:00:00,13:00:00,16,"Admin note 2",35,0,"Taster note 2",26,2,23,0,completed,3,1,2,15:16:00,00:00:00,00:00:00,15:18:00,03:00:00,0,0,"2019-02-06 09:13:07","2019-02-06 10:32:34",0,pending,1,2019-02-06,$100,"Harper Woods",1234567890
527,65,2019-02-06,11:30:00,12:00:00,16,Admin,35,0,test,27,2,23,0,completed,3,1,2,11:54:00,00:00:00,00:00:00,12:01:00,00:30:00,0,0,"2019-02-06 06:05:22","2019-02-06 06:34:24",0,pending,1,2019-02-06,$15,"Harper Woods",1234567890
525,65,2019-02-06,11:00:00,14:30:00,15,Approve,87,0,"Good Luck",19,2,22,0,completed,3,1,2,17:31:00,00:00:00,00:00:00,18:13:00,19:57:00,22.6092,88.4142,"2019-02-06 05:11:14","2019-02-06 12:46:15",0,pending,1,2019-02-06,$,"Kim Chan",1234567890
524,65,2019-02-06,10:30:00,12:00:00,16,"Admin note",35,0,"Hello taster. Please visit the store early. If you do late for more than 15mins then your job will be canceled.  No money will be given for that job.",27,2,"22,21",0,completed,3,1,2,10:32:00,00:00:00,00:00:00,11:14:00,11:39:00,0,0,"2019-02-06 04:57:20","2019-02-06 05:47:27",0,pending,1,2019-02-06,$20,"Harper Woods",1234567890
